Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
4.71587e-07
1.66557e-07, 1.78513e-07, 0.0815861, 1.07442e-06, 3.28786e-06, 1.55909, 0.555511, 1.65859e-05, 8.04353e-06, 5.03235e-08, 1.31963e-09, 2.06556e-09, 8.10135e-06, 0.0158394, 5.33935e-09, 3.7894e-07, 4.62122e-06, 1.94568e-07, 1.29094e-05, 1.79913e-05, 2.10331e-07, 2.03186e-07, 4.94201e-05, 0.159742, 1.77994e-05, 2.10676e-07, 2.1029e-07, 3.75928e-05, 4.53007e-06, 2.17302e-07, 1.30188e-08, 1.58019e-07, 0.318424, 2.59347, 0.965094, 2.23192e-07, 3.10775e-07, 3.26695e-06, 1.62322e-07, 2.29152e-07, 4.27435e-06, 3.38246e-06, 6.11167e-07, 2.87116e-07, 2.24991e-06, 3.82726e-07, 2.13307e-07, 2.12481e-07, 0.0543242, 0.0562523, 

1.07507e-07, 1.78513e-07, 3.28786e-06, 1.55909, 0.555511, 1.65859e-05, 8.04353e-06, 2.10676e-07, 3.7894e-07, 2.17302e-07, 1.31963e-09, 2.06556e-09, 4.62122e-06, 1.94568e-07, 1.29094e-05, 1.79913e-05, 1.42112, 1.07442e-06, 5.33935e-09, 2.1029e-07, 2.10331e-07, 2.03186e-07, 4.94201e-05, 0.159742, 1.14761e-05, 0.194029, 0.0352393, 3.10775e-07, 5.03235e-08, 8.36702e-08, 1.30188e-08, 1.58019e-07, 0.318424, 2.23192e-07, 1.62322e-07, 2.29152e-07, 10.1936, 3.26695e-06, 8.01666e-08, 4.53007e-06, 3.38246e-06, 6.11167e-07, 2.87116e-07, 2.24991e-06, 3.82726e-07, 2.13307e-07, 2.12481e-07, 1.66557e-07, 8.10135e-06, 1.77994e-05, 

1.07507e-07, 1.78513e-07, 0.555511, 8.04353e-06, 2.10676e-07, 3.7894e-07, 0.10521, 2.17302e-07, 3.28786e-06, 3.26695e-06, 1.31963e-09, 2.06556e-09, 1.94568e-07, 1.79913e-05, 1.42112, 5.33935e-09, 0.0170446, 4.53007e-06, 8.10135e-06, 1.07148e-09, 1.66557e-07, 5.07298e-08, 0.159742, 0.194029, 0.0352393, 5.03235e-08, 0.248898, 3.10775e-07, 1.07442e-06, 4.62122e-06, 1.30188e-08, 1.76305e-09, 2.23192e-07, 1.62322e-07, 2.29152e-07, 8.01666e-08, 3.85391, 8.36702e-08, 2.1029e-07, 1.14761e-05, 3.38246e-06, 6.11167e-07, 2.87116e-07, 2.24991e-06, 3.82726e-07, 2.13307e-07, 2.12481e-07, 2.0289e-07, 1.29094e-05, 1.65859e-05, 

2.753e-08, 1.78513e-07, 0.555511, 2.10676e-07, 3.7894e-07, 0.10521, 3.26695e-06, 5.03235e-08, 8.04353e-06, 8.10135e-06, 1.31963e-09, 2.06556e-09, 5.33935e-09, 0.0170446, 4.53007e-06, 2.62138, 4.09929, 3.28786e-06, 1.94568e-07, 1.62322e-07, 1.66557e-07, 5.07298e-08, 0.194029, 3.10775e-07, 1.07442e-06, 4.62122e-06, 10.4177, 1.14761e-05, 1.65859e-05, 1.07148e-09, 1.30188e-08, 1.76305e-09, 2.23192e-07, 2.29152e-07, 8.01666e-08, 8.36702e-08, 7.33262e-08, 1.29094e-05, 2.1029e-07, 2.17302e-07, 6.11167e-07, 2.87116e-07, 2.24991e-06, 3.82726e-07, 2.13307e-07, 2.12481e-07, 2.0289e-07, 1.07507e-07, 1.79913e-05, 0.0156384, 

2.753e-08, 1.78513e-07, 2.10676e-07, 3.7894e-07, 3.26695e-06, 5.03235e-08, 8.04353e-06, 2.11155e-06, 8.10135e-06, 8.01666e-08, 1.31963e-09, 2.06556e-09, 3.28786e-06, 1.94568e-07, 1.62322e-07, 2.7235, 4.24244, 2.17302e-07, 3.10775e-07, 1.14761e-05, 3.33903e-08, 5.07298e-08, 0.194029, 1.07442e-06, 0.8701, 1.65859e-05, 7.8026, 4.62122e-06, 2.10183e-08, 4.53007e-06, 1.30188e-08, 1.76305e-09, 2.23192e-07, 2.29152e-07, 8.36702e-08, 1.29094e-05, 2.1029e-07, 5.33935e-09, 1.79913e-05, 1.07148e-09, 6.11167e-07, 2.87116e-07, 2.24991e-06, 3.82726e-07, 2.13307e-07, 2.12481e-07, 2.0289e-07, 1.07507e-07, 0.0156384, 0.0170446, 

